Title,Year,Director,Literary_Credits,Subjects,Filming_Location,Production_Companies,Distribution_Companies
Kildare of Storm,1918,Harry L. Franklin|67519,Eleanor Mercein Kelly ,Alcoholics|Child custody|Confession (Law)|False arrests|Imprisonment|Fights|Illegitimacy|Marriage--Arranged|Infidelity|Physicians|Mothers and daughters|Plantations|Planters|Pardons|Servants|Southerners|United States--South,Rye New York United States|New York City New York United States,Metro Pictures Corp.,Metro Pictures Corp.
The Panther Woman,1918,Ralph Ince|127078,Gertrude Atherton ,False arrests|Dance hall girls|Electric chair|Lawyers|Fathers and daughters|Mining towns|Murder|Mining towns|Poisoning|Stepmothers,|Asheville North Carolina United States|New York City New York United States,Petrova Picture Co.,"First National Exhibitors' Circuit, Inc."
Uncle Tom's Cabin,1918,J. Searle Dawley|74878,George L. Aiken |Harriet Beecher Stowe ,Disease|Children|Escapes|Mississippi River|Heaven|New Orleans (LA)|Kentucky|Sadism|Slavery--Emancipation|Ohio River|Slaves|Plantation owners|Southerners|Pledges|Rescues|Slave traders|Visions,New York City New York United States||,Famous Players-Lasky Corp.,"Famous Players-Lasky Corp.,Paramount Pictures "
Mrs. Wiggs of the Cabbage Patch,1919,Hugh Ford|71684,Alice Caldwell Hegan Rice ,Disinheritance|Adolescents|Family life|Illegitimacy|Orphanages|Nursing back to health|Sheriffs|Poverty|Runaways,,Famous Players-Lasky Corp.,Famous Players-Lasky Corp.; Paramount Pictures
Dawn,1919,J. Stuart Blackton|74886,Eleanor H. Porter ,Artists|Blindness|Gossip|Attempted suicide|Nurses|Eye surgery|Schools for the blind|Gossip|Heiresses|Housekeepers|Stepfathers|War injuries,,"J. Stuart Blackton Feature Pictures, Inc.","Pathé Exchange, Inc."
False Evidence,1919,Edwin Carew |45387,Mary E. Wilkins Freeman ,California|Cousins|Dances|Lynching|Fathers and daughters|Marriage--Arranged|Scottish Americans|Flirts|Social customs|Kisses|Knife wounds|Village life|Self-sacrifice|Trees,Santa Cruz California United States||Hollywood California United States,Metro Pictures Corp.,Metro Pictures Corp.
Pollyanna,1920,Paul Powell|122247,Eleanor H. Porter ,Disillusionment|Aunts|Automobile accidents|Physicians|Cures|Good Samaritans|Orphans|Paralysis|Paraplegics|Small town life,,Mary Pickford Co.,United Artists Corp.
Humoresque,1920,Frank Borzage|53124,Fannie Hurst ,Cures|Children|Jews|France|Mothers and sons|Handicapped|Soldiers|New York City|World War I|Violinists|War injuries,,Cosmopolitan Productions,"Famous Players-Lasky Corp.,Paramount-Artcraft Pictures"
Judy of Rogue's Harbor,1920,William D. Taylor |156887,Grace Miller White ,Assassination|Cads|Battered children|Conspiracy|Grandfathers|Neighbors|Sisters|Parentage|Waifs|Governors|Vigilantes,Los Angeles California United States|Pasadena California United States,Realart Pictures Corp.,Realart Pictures Corp.
Just Around the Corner,1921,Frances Marion|52360,Fannie Hurst ,Family life|Family relationships|Messengers|New York City--East Side|Ushers,New York City New York United States,Cosmopolitan Productions,Paramount Pictures 
Silent Years,1921,Louis J. Gasnier |101030,Harriet Theresa Comstock ,Dogs|French Canadians|Invalids|Mortgages|Motherhood|Parentage|St. Lawrence River|Sisters,Truckee California United States,R-C Pictures ,
Nobody's Kid,1921,Howard Hickman|71305,Kate Langley Bosher ,Adolescence|Grandfathers|Judges|Orphanages|Orphans|Parentage,Hollywood California United States,Robertson-Cole Pictures,
Hungry Hearts,1922,E. Mason Hopper|42274,Anzia Yezierska ,Finance--Personal|Immigrants|Jews|Landlords|Lawyers|Russians,New York City New York United States,Goldwyn Pictures Corp.,
The Good Provider,1922,Frank Borzage|53124,Fannie Hurst ,Bankruptcy|Immigrants|Jews|New York City|Small town life,,Cosmopolitan Productions,"Famous Players-Lasky Corp.,Paramount Pictures "
Tess of the Storm Country,1922,John S. Robertson |76140,Grace Miller White |Rupert Hughes ,Brothers and sisters|Family relationships|Injustice|Murder|Poverty|Squatters,Chatsworth California United States,Mary Pickford Co.,United Artists 
Little Miss Smiles,1922,Jack Ford |85693,Myra Kelly ,Blindness|Boxers|Brothers and sisters|Family life|Gangsters|Jews|New York City|Physicians|Tenement-houses,Hollywood California United States|Los Angeles California United States,Fox Film Corp.,Fox Film Corp.
Miss Lulu Bett,1922,William C. de Mille|156814,Zona Gale ,Bigamy|Brothers|Dentists|Drudges|Justices of the peace|Reputation|Schoolteachers|Small town life|Spinsters,Hollywood California United States,Famous Players-Lasky Corp.,Paramount Pictures 
Michael O'Halloran,1923,James Leo Meehan|78659,Gene Stratton-Porter ,Birds|Handicapped|Lawyers|Orphans|Poverty|Rural life|Wealth,Culver City California United States,Gene Stratton-Porter Productions,W. W. Hodkinson Corp.
So Big,1924,Charles Brabin|29072,Edna Ferber ,Architects|Chicago (IL)|Dutch|Farmers|Illinois|Motherhood|Schoolteachers|Truck farmers,,"First National Pictures, Inc.","First National Pictures, Inc."
A Girl of the Limberlost,1924,James Leo Meehan|78659,Gene Stratton-Porter ,Adolescence|Dogs|High school students|Infidelity|Marshes|Motherhood|Quicksand,,Gene Stratton Porter Productions ,Film Booking Offices of America 
Salome of the Tenements,1925,Sidney Olcott|140654,Anzia Yezierska ,Blackmail|Couturiers|Jews|New York City|Newspapers|Philanthropists|Reporters|Secretaries|Usury,Astoria New York United States|New York City New York United States,Famous Players-Lasky Corp.,Paramount Pictures Corp.
The Keeper of the Bees,1925,James Leo Meehan|78659,Gene Stratton-Porter ,Bees and wasps|Marriage|Reputation|Self-sacrifice|Tomboys|Veterans,Santa Barbara California United States,"Gene Stratton Porter Productions, Inc.",Film Booking Offices of America 
The Pearl of Love,1925,Leon E. Dadmun|97600,Harriet Beecher Stowe ,Adoption|Maine|Shipwrecks|Smuggling,,Paul W. Whitcomb Productions,Lee-Bradford Corp.
Lovey Mary,1926,King Baggot|94156,Alice Hegan Rice ,Canneries|Children|Courtship|Exterminators|Orphanages|Orphans,,Metro-Goldwyn-Mayer Corp.,Metro-Goldwyn-Mayer Distributing Corp.
Laddie,1926,James Leo Meehan|78659,Gene Stratton-Porter ,Children|Courtship|English|Exile|Family life|Ohio|Pioneers,,Gene Stratton-Porter Productions,Film Booking Offices of America 
The Harvester,1927,Leo Meehan |78659,Gene Stratton-Porter ,Detectives|Herbs|Marriage|Nurses|Parentage|Physicians|Rural life,,R-C Pictures Corp.,Film Booking Offices of America 
The Magic Garden,1927,J. Leo Meehan |78659,Gene Stratton-Porter ,Gardens|Suicide|Venice (Italy)|Violinists|Yachts and yachting,,"Gene Stratton Porter Productions, Inc.",Film Booking Offices of America 
Topsy and Eva,1927,Del Lord|37450,Catherine Chisholm Cushing ,African Americans|Uncle Tom's Cabin (Novel)|Children|Miracles|Slavery,,"Feature Productions, Inc.",United Artists Corp.
Freckles,1928,Leo Meehan |78659,Gene Stratton-Porter ,Amputees|Forests|Lumber camps|Lumber industry|Orphans|Thieves|Lumber,Hollywood California United States,"F.B.O. Productions, Inc.","F.B.O. Productions, Inc."
Ramona,1928,Edwin Carewe|45387,L. Wolfe Gilbert |Mabel Wayne |Helen Hunt Jackson ,Amnesia|Dogs|Indians of North America|Indians of North America--Mixed blood|Murder|Spaniards,Hollywood California United States,"Inspiration Pictures, Inc.",United Artists Corp.
Linda,1929,Mrs. Wallace Reid |40862,Harry Tobias |Charles Tobias |Al Sherman |Margaret Prescott Montague ,Bigamy|Lumberjacks|Marriage|Physicians|Schoolteachers,Fort Lee New Jersey United States,"Cliff Broughton Productions,Mrs. Wallace Reid Productions,Willis Kent Productions","First Division Pictures ,States' rights"
The Woman Who Was Forgotten,1930,Richard Thomas|130453,Bess Streeter Aldrich ,Bankers|Embezzlement|Schoolteachers|Students,,"Woman Who Was Forgotten, Inc.",States Cinema Corp.
Mother's Cry,1930,Hobart Henley|70829,Helen Grace Carlisle ,Architects|Blackmail|Capital punishment|Family life|Gangsters|Intellectuals|Motherhood|Murder|Seamstresses|Widows,Burbank California United States,"First National Pictures, Inc.","First National Pictures, Inc."
Cimarron,1931,Wesley Ruggles|154535,Edna Ferber ,"African Americans|Marriage|Newspapers|Cherokee Indians|Oklahoma|Citizenship|Settlers|Department store owners|Editors|United States--History--Reconstruction, 1865-1898|Family relationships|Gambling houses|Gunfights|Industrial accidents|Intolerance|Jews|Land rushes|Lawyers|Murder|Oil|Osage Indians|Outlaws|Political corruption|Printers|Prostitution|Rough Riders|Self-sacrifice|Servants|Spanish-American War, 1898|Statues|Tramps|Trials|United States. Congress. House of Representatives|Wichita (KS)|Women in politics|Women reporters",Bakersfield California United States,"RKO Radio Pictures, Inc.","RKO Radio Pictures, Inc."
So Big,1932,William A. Wellman|156757,Edna Ferber ,Farmers|Architects|Idealism|Artists|Asparagus|Mothers and sons|Businessmen|Chicago (IL)|Children|Churches|Dutch Americans|Friendship|Infidelity|Love affairs|Lure of riches|Ministers|Physicians|Prostitution|Salesmen|Sculptors|Teachers|United States--Midwest|Widows,,"Warner Bros. Pictures, Inc.","The Vitaphone Corp.,Warner Bros. Pictures, Inc."
Back Street,1932,John M. Stahl|87744,Fannie Hurst ,Infidelity|Beer gardens|Cincinnati (OH)|Love|Mistresses|Death and dying|Engagements|Reputation|Fathers and daughters|Self-sacrifice|Family relationships|Fires|Funerals|Inventors|Neighbors|New York City|Paris (France)|Proposals (Marital)|Rescues|Stepmothers|Stroke,,Universal Pictures Corp.,Universal Pictures Corp.
Tess of the Storm Country,1932,Alfred Santell|10579,Will Jason |Val Burton |Grace Miller White |Rupert Hughes ,Baptism|Attempted rape|Attempted suicide|Class distinction|False accusations|Dances|Fathers and daughters|Fathers and sons|Fishermen|Fires|Game wardens|Illegitimacy|Sea captains|Infants|Monkeys|Self-sacrifice|Motorboats|Squatters|Rescues|Ship crews|Shootings,,Fox Film Corp.,Fox Film Corp.
Rebecca of Sunnybrook Farm,1932,Alfred Santell|10579,James F. Hanley |Charlotte Thompson |Kate Douglas Wiggin ,Aunts|Atheists|Innocents|Bus drivers|Regeneration|Buses|Charity|Rural life|Childbirth|Christmas|Clinics|Engagements|Maine|Marriage--Common law|Medical ethics|Missionaries|Physicians|Snow storms|Syria,,Fox Film Corp.,Fox Film Corp.
Mrs. Wiggs of the Cabbage Patch,1934,Norman Taurog|118608,Alice Hegan Rice |Anne Crawford Flexner ,Children|Acrobats|Desertion (Marital)|Advertisements|Good Samaritans|Alcoholics|Charities|Poverty|Shantytowns|Death and dying|Dogs|Horses|Hospitals|Invalids|Long-lost relatives|Marriage|Mortgages|Spinsters|Thanksgiving Day|Vaudeville|Weddings,|Calabasas California United States,"Paramount Productions, Inc.","Paramount Productions, Inc."
Imitation of Life,1934,John M. Stahl|87744,Fannie Hurst ,Death by shock|Maids|Engagements|Mothers and daughters|Racial impersonation|Funerals|Racism|Generation gap|Self-sacrifice|Ichthyologists|Women in business|Maturation|Parties|Restaurateurs|Runaways|Schoolteachers|Self-reliance|Vagabonds|Wealth|Widows,,Universal Pictures Corp.,Universal Pictures Corp.
A Girl of the Limberlost,1934,Christy Cabanne|31877,Gene Stratton-Porter ,Accidental death|Indiana|Infidelity|Aunts|Butterflies|Mothers and daughters|Romance|Childbirth|Eccentrics|Swamps|Engagements|Finance--Personal|Jealousy|Physicians|Schools|Thieves|Uncles,,Monogram Pictures Corp.,Monogram Pictures Corp.
Freckles,1935,Edward Killy|44762||William Hamilton|155729,Gene Stratton-Porter ,Accidents|Children|Forests|Bears|Dolls|Gangsters|Ex-convicts|Orphans|General stores|Schoolteachers|Gunshot wounds|Lumber camps|Lumberjacks|Machine-guns|Mothers and daughters|Newspapers|Orphans|Rescues|Romance|Thieves|United States. Federal Bureau of Investigation,,"RKO Radio Pictures, Inc.","RKO Radio Pictures, Inc."
Laddie,1935,George Stevens|59479,Gene Stratton-Porter ,Children|Engagements|English|Class distinction|Forests|Farmers|Long-lost relatives|Family relationships|Physicians|Indiana|Romance|Prayer|United States--History--19th century|Proposals (Marital),Chino California United States|Sunland California United States,"RKO Radio Pictures, Inc.","RKO Radio Pictures, Inc."
The Keeper of the Bees,1935,Christy Cabanne|31877,Gene Stratton-Porter ,Beekeepers|Cousins|Illegitimacy|Fatherhood|Marriage--Forced by circumstances|Grandmothers|Rejuvenation|Heart disease|Hitchhiking|Rural life|Veterans|Hospitals|Housekeepers|Infants|Inheritance|Long-lost relatives|Male impersonation|Mothers and daughters|Nurses|Orphans|Physicians|Reputation|Self-sacrifice|Tomboys|War injuries|Weddings,|San Pedro California United States,Monogram Pictures Corp.,"Monogram Pictures Corp.,Republic Pictures Corp."
Come and Get It,1936,Howard Hawks|71302||William Wyler|156648,George R. Poulton |W. W. Fosdick |Edna Ferber ,Aging|Doubles|Fathers and sons|Gamblers|Millionaires|Family relationships|Lumber camp foremen|Paper products|Marriage|Saloons|Singers|Unrequited love|Swedish Americans|United States--History--Social life and customs,,"Howard Productions, Inc.",United Artists Corp.
The Harvester,1936,Joseph Santley|89655,Gene Stratton-Porter ,Farmers|Ambition|City-country contrast|Marriage--Arranged|Engagements|Romantic rivalry|Small town life|Farm life|Grandmothers|Henpecked husbands|Indiana|Inventions|Orphanages|Orphans|Progress|Real estate agents,,Republic Pictures Corp.,Republic Pictures Corp.
Ramona,1936,Henry King|69358,Mabel Wayne |L. Wolfe Gilbert |William Kernell |Helen Hunt Jackson ,California--History--1846-1850|Christianity|Indians of North America--Mixed blood|Dances|Funerals|Indians of North America|Racism|Horseracing|Romance|Horse thieves|Jealousy|Land rights|Marriage|Mexican Americans|Murder|Physicians|Priests|Servants|Settlers|Wards and guardians,|,Twentieth Century-Fox Film Corp.,Twentieth Century-Fox Film Corp.
Underworld,1937,Oscar Micheaux|119611,Harry Woods |Irving Mills |Duke Ellington |Edna Mae Baker ,Accidental death|African Americans|Automobile accidents|Chicago (IL)|City-country contrast|Beauty operators|Confidence men|College students|Duplicity|Detectives|False accusations|Drugging|Murder|Infidelity|Singers|Nervous breakdown|Nightclub owners|Nightclubs|Pawnbrokers|Thieves|Trains,,Micheaux Pictures Corp.,"Sack Amusement Enterprises, Inc."
Michael O'Halloran,1937,Karl Brown|92053,Gene Stratton-Porter ,"Child custody|Brothers and sisters|Foster children|Children|Divorce|Nightclubs|Operations, Surgical|Handicapped|Physicians|Transformation|Raids|Trials",,Republic Pictures Corp.,Republic Pictures Corp.
Romance of the Limberlost,1938,William Nigh|156157,Gene Stratton-Porter ,Aunts|Barns|Class distinction|Birds|Murder|Forests|Indentured servants|Rural life|Judges|Transformation|Unrequited love|Lawyers|Swamps|Trials|Widowers,,Monogram Pictures Corp.,Monogram Pictures Corp.
Rebecca of Sunnybrook Farm,1938,Allan Dwan|11207,Ted Koehler |Ray Henderson |Sidney Clare |Richard A. Whiting |Jack Yellen |Samuel Pokrass |Sidney D. Mitchell |Lew Pollack |Harry Revel |Mack Gordon | Raymond Scott Quintet |Kate Douglas Wiggin ,Advertising|Auditions|Aunts|Business competition|Cereal products|Child custody|Children|Contracts|Farms|Cousins|Neighbors|Deception|Eviction|Radio broadcasting|Landladies|Singers|Lawyers|Physicians|Pigs|Radio performers|Romance|Stepfathers|Theatrical managers|Wells,,Twentieth Century-Fox Film Corp.,Twentieth Century-Fox Film Corp.
